sbGeneticsConstant::captureDate,sbGeneticsConstant::identification,sbGeneticsConstant::materialTransferAgreement,sbGeneticsConstant::mutantAllele,sbGeneticsConstant::phenotype,sbGeneticsConstant::researcherCommentsGenetics,sbGeneticsConstant::researcherInitials,sbGeneticsConstant::source,sbGeneticsConstant::species,sbGeneticsConstant::transgenes
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,F3 QTL Back; Boot x Rabbit Slough,,,,,,,Gasterosteus aculeatus
,stock - Siltcoos,,,,,,,Gasterosteus aculeatus
,stock - Siltcoos,,,,,,,Gasterosteus aculeatus
,stock - Inbred Boot Lake,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,Gasterosteus aculeatus
,stock - Inbred Boot Lake,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,Gasterosteus aculeatus
,EXTHYB,,,,This is a mass crossing between many different families of fish. ,,,Gasterosteus aculeatus
,stock-inbreeding; Boot,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,Gasterosteus aculeatus
,F3 QTL; Boot x Rabbit Slough,,,,,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,
,RNA,,,,,,,
,complementation cross,,,,,,,Gasterosteus aculeatus
,complementation cross,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,Gasterosteus aculeatus
,F2 QTL Back; Bear Paw by RS,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,Gasterosteus aculeatus
,F2 QTL; Siltcoos x Whale lake,,,,,,,Gasterosteus aculeatus
,stock - Inbred Boot Lake,,,,,,,Gasterosteus aculeatus
,stock - Inbred Boot Lake,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Boot,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Boot,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Boot,,,,,,,Gasterosteus aculeatus
,F3 QTL Back; Bear P x RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Siltcoos x Whale lake,,,,,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,Bonnies fish ,,,Gasterosteus aculeatus
